name,age,location,occupation,political_leaning,support_level,impact_on_housing,impact_on_transport,impact_on_community,key_concerns,suggested_improvements,sentiment_score,key_themes
Jasmine,40,Bondi Beach,Teacher,Labor,5,0,4,4,"Developer accountability, Public transport improvement, Community space enhancement, Housing quality","Mandate a percentage of affordable housing in new developments, Improve public transport links and facilities in areas with reduced parking, Invest in community green spaces and facilities to offset the loss of private car spaces, Regular review of the policy's impact on traffic and community wellbeing",0.21818181818181817,"['housing affordability', 'public transport accessibility', 'community involvement', 'developer profits', 'public spaces']"
Nicole,86,Waverley,Teacher,Liberal,1,0,1,1,"Increased traffic congestion, parking availability, property devaluation, resident and visitor inconvenience","Implement a tiered parking requirement based on the size of the development, increase investment in public transportation to reduce car dependency, introduce shared parking solutions that can be used by both residents and the public to maximize efficiency.",0.07696969696969698,"['development vs. community needs', 'traffic congestion and parking availability', 'housing affordability', 'environmental impact', 'property devaluation']"
Jeffrey,26,Waverley,Artist,Teal Independent,5,0,4,4,"Developer accountability, Effectiveness in reducing housing costs, Potential increase in population density without adequate infrastructure, Risk of public space overcrowding","Mandate a portion of savings from reduced parking requirements be passed on to buyers/renters in affordability, Enhance public transport and pedestrian infrastructure, Implement car share schemes within developments, Increase green spaces to accommodate higher density living",0.0758116883116883,"['sustainability', 'affordable housing', 'reducing car reliance', 'housing construction costs', 'public transport and infrastructure improvement']"
Edward,34,Bronte,Public servant,Labor,5,0,4,4,"Public transport accessibility, Cycleway infrastructure, Traffic congestion","Enhance public transport services, Expand cycleway networks, Implement car share schemes",0.2556926406926407,"['housing affordability', 'sustainable living', 'public transport improvements', 'reduction of parking requirements', 'environmental friendliness']"
Jacqueline,89,Randwick,Public servant,Centre,2,0,2,2,"Increased traffic congestion, Insufficient public transport infrastructure, Parking availability for existing residents, Impact on local businesses","Enhance public transport services and infrastructure, Implement residential parking schemes, Require developers to contribute to public transport funding, Encourage car-sharing schemes",0.09724517906336089,"['environmental benefits', 'traffic implications', 'strain on local infrastructure', 'increased congestion', 'competition for parking spaces']"
Brittany,36,Bondi Junction,Tradie,Liberal,1,0,1,1,"decreased property values, increased traffic congestion, reduced street safety, parking scarcity","mandatory parking spaces based on apartment size, improved public transport options, incentives for developers to include parking",-0.03272727272727273,"['parking space reduction concerns', 'impact on property value and daily life', 'traffic and safety issues', 'local resident considerations']"
Anna,25,Randwick,Engineer,Liberal,1,0,1,1,"Increased parking difficulty, potential for increased traffic congestion, lack of incentives for sustainable transport options","Implement a comprehensive public transport improvement plan, incentives for green vehicle ownership, development of bike-sharing schemes",0.08552188552188551,"['parking availability concerns', 'impact on residents with cars', 'sustainable transport solutions', 'opposition to policy change', 'climate resilience']"
Mackenzie,83,Waverley,Hospitality worker,Centre,1,0,1,1,"Increased traffic congestion, inadequate parking for current and future residents, reduced mobility for older residents, potential decrease in property values","Implement a hybrid approach to parking requirements that still includes some mandated parking spaces, increase investment in public transport to reduce car dependency, introduce parking permits for local residents to prioritize their needs.",0.14842171717171718,"['parking requirements and housing development', 'impact on street parking and resident mobility', 'traffic congestion concerns']"
Bobby,18,North Bondi,Nurse,Socialist Alliance,5,0,4,5,"Environmental sustainability, housing affordability, reliance on cars, rent pressure","Increase investment in public transit and cycleways, implement car share schemes, enforce rent control measures",0.025336700336700338,"['environmental sustainability', 'housing affordability', 'transit-oriented development', 'reduction of car dependency', 'socialist values in community planning']"
Jenny,21,Queens Park,Consultant,Labor,5,0,4,4,"Developer accountability, Housing accessibility for young people, Sustainable urban planning, Impact on public transport demand","Implement developer incentives for including affordable housing units, Strengthen public transport services and infrastructure, Introduce green building requirements, Monitor and regulate to prevent negative impacts on local traffic and parking availability",0.21433080808080807,"['sustainable urban planning', 'housing affordability crisis', 'environmental goals', 'youth housing access', 'heritage protection']"
Thomas,64,Bronte,Tradie,Centre,4,0,3,3,"Reduced green spaces, Increased pressure on public transport, Potential for parking to overflow into neighboring areas","Mandate contributions from developers to fund public transport improvements, Implement green space requirements for new developments, Establish residential parking permit zones to manage overflow",0.12418414918414919,"['housing affordability', 'public transport demand', 'impact on public spaces', 'parking policy changes', 'local government proposals']"
Amanda,47,Bondi Beach,Designer,Greens,5,0,4,4,"Developer profit over community benefit, potential increase in parking scarcity, ensuring public transport improvements","Mandate a portion of savings on parking to be passed on to renters, increase public transport options and infrastructure in Bondi, implement a residential parking permit system to manage street parking scarcity",0.1553030303030303,"['housing affordability', 'environmental consciousness', 'reducing parking requirements', 'public transport encouragement', 'community benefit vs. developer profit']"
Matthew,40,Bronte,Nurse,Greens,5,0,4,4,"Increased parking pressure on surrounding streets, potential for overcrowding on public transport, need for enhanced public transport services","Implement residential parking permits for existing residents, increase frequency and routes of public transport services, introduce car share schemes within new developments, ensure developments are truly suited to residents' needs without assuming all will forgo car ownership.",0.0995959595959596,"['environmental sustainability', 'public transport reliance', 'urban space efficiency', 'carbon footprint reduction', 'housing affordability']"
Monique,18,Randwick,Teacher,Labor,5,0,4,4,"Parking competition in surrounding areas, potential for increased noise and traffic on residential streets, ensuring public transport can handle increased demand","Increase public transport options and frequency, implement resident-only parking zones, invest in infrastructure for non-car transport modes (bike lanes, scooter parking, pedestrian zones)",0.19747474747474747,"['affordable housing', 'climate resilience', 'reduced traffic', 'parking competition', 'urban heat islands']"
Gloria,73,Queens Park,Student,Liberal,1,0,1,1,"Increased traffic congestion, parking scarcity, strain on public transport, reduced accessibility for car-dependent residents","Implement a balanced approach to parking spaces in new developments, enhance public transport infrastructure before reducing parking spaces, introduce community consultation processes to assess the needs of all residents, including those who are car-dependent.",0.09015151515151515,"['urban planning and foresight', 'impact of removing parking requirements', 'traffic and parking congestion', 'community quality of life', 'reliance on vehicles for mobility']"
Deborah,34,Bondi Junction,Software developer,Liberal,5,0,4,4,"Developer profits over community benefits, lack of public space, insufficient public transport enhancements","Mandate green spaces in new developments, improve local public transport infrastructure, enforce developer contributions to community facilities",0.2555785123966942,"['sustainable living', 'housing affordability', 'developer accountability', 'public space enhancement', 'reduction of parking requirements']"
John,23,Tamarama,Teacher,Greens,5,0,4,4,"Adequate public transport, Infrastructure support, Potential increase in rent due to higher demand for ""car-free"" housing, Displacement of low-income renters","Increase investment in public transport and cycling infrastructure, Introduce rent controls to prevent displacement of current residents, Implement measures to ensure a percentage of new developments are affordable housing, Encourage car-sharing schemes",0.154978354978355,"['sustainable living', 'housing affordability', 'public transport investment', 'urban environment sustainability', 'developer accountability']"
Valerie,41,Tamarama,Software developer,Greens,5,0,5,4,"Traffic congestion, Parking availability, Sustainable transport options, Public transport improvements","Increase investment in cycleways, Enhance public transportation infrastructure, Implement residential parking permits, Encourage car-sharing schemes",0.17613636363636365,"['sustainable living', 'reduction of carbon emissions', 'traffic congestion mitigation', 'support for sustainable transport options', 'community livability']"
Emily,43,Bondi Beach,Software developer,Teal Independent,5,0,4,4,"parking congestion, increased reliance on public transport, potential for inadequate infrastructure to support a car-less shift","invest in public transport and cycling infrastructure, implement car share schemes, ensure developments include amenities like secure bike storage to support a less car-dependent lifestyle",0.2602272727272727,"['housing affordability crisis', 'sustainable transport options', 'reducing car dependency', 'community benefits', 'transport and parking challenges']"
Clifford,23,Queens Park,Software developer,Liberal,5,0,4,4,"Sustainability, housing affordability, public transport enhancement, community green spaces","Increase investment in public transport and cycleways, enforce green building standards, provide incentives for developments with communal amenities",0.17039141414141415,"['sustainability and urban planning', 'reduction of parking requirements', 'support for public transport and cycling', 'protection of heritage', 'creation of livable and affordable urban spaces']"
Alison,67,Bronte,Designer,Centre,2,0,2,2,"Increased traffic congestion, Parking scarcity, Insufficient public transport alternatives, Potential devaluation of existing properties with ample parking","Mandatory investment in local transport infrastructure by developers, Creation of more cycleways, Implementation of resident-only parking zones, Incentives for car-sharing schemes",0.11885521885521887,"['sustainable urban living', 'climate resilience', 'housing affordability', 'traffic congestion', 'alternative transport infrastructure']"
Haley,59,Tamarama,Student,Centre,4,0,3,3,"Developer overreach, parking availability, public transport capacity, impact on local heritage sites","Strict developer guidelines, investment in public transport and pedestrian infrastructure, community consultation on each project, heritage impact assessments",0.13737373737373737,"['developer accountability', 'heritage protection', 'sustainability', 'affordable housing', 'reduced reliance on private vehicles']"
Lindsay,81,Bondi Beach,Tradie,Centre,1,0,1,1,"Increased street congestion, reduced accessibility for tradies and other car-dependent workers, potential devaluation of property, degradation of community character","Maintain some level of parking requirements, invest in alternative transport solutions to reduce car dependency, enforce parking regulations more strictly, introduce resident parking permits",0.05246212121212121,"['parking issues in Bondi Beach', 'impact on community character and property values', 'necessity of parking for livelihoods', 'safety concerns due to increased congestion', 'policy effects on neighborhood accessibility']"
Matthew,55,Queens Park,Artist,Teal Independent,5,0,4,4,"Rent pressure, adequate public transport infrastructure, ensuring the policy benefits are not offset by increased desirability leading to higher rents","Increase investment in public transport and cycling infrastructure, implement measures to control rent increases in affected areas, ensure a portion of new developments are allocated for affordable housing",0.21237373737373735,"['sustainability', 'community inclusivity', 'housing affordability', 'environmental benefits of public transport', 'concern over rent pressure']"
John,55,Queens Park,Accountant,Liberal,1,0,1,1,"Increased parking difficulties, potential decrease in property values, reduced street safety, accessibility issues for residents reliant on cars","Implement a requirement for a minimum number of parking spaces based on apartment size, encourage developers to build more sustainable transport options into their plans (e.g., secure bike storage, car-sharing facilities), enforce strict regulations to ensure new developments contribute positively to the local infrastructure, including roads and public transport options.",0.07030303030303031,"['parking difficulties', 'safety and accessibility concerns', 'impact on property values', 'opposition to removing parking requirements', 'community well-being']"
Tina,68,Bondi Junction,Retail assistant,Labor,5,0,4,4,"Traffic congestion, Safety of cycleways, Adequate alternative transport options, Potential overcrowding","Increase investment in public transport and cycleways, Introduce car share schemes, Ensure developments include green spaces, Implement measures to prevent traffic congestion",0.1722451790633609,"['environmental values', 'housing affordability', 'community livability', 'traffic and cycleway infrastructure', 'accessible housing for youth']"
Linda,74,Tamarama,Student,Liberal,4,0,3,3,"Increased traffic, Pressure on public transport, Potential loss of heritage character","Enhance public transport services and infrastructure, Implement strict guidelines to protect heritage sites, Introduce green spaces or communal areas to compensate for the lack of private parking, Encourage the development of affordable housing.",0.14204545454545453,"['local heritage preservation', 'climate change adaptation', 'reducing car dependency', 'traffic and congestion concerns', 'public transport system strain']"
Paul,80,Waverley,Software developer,Liberal,1,0,1,1,"Increased traffic congestion, parking difficulties, impact on property values, neglect of current residents' needs","Implement mandatory parking spaces based on apartment size, invest in improving public transport and cycling infrastructure, introduce a resident parking permit system to prioritize local needs",0.0778030303030303,"['opposition to policy changes', 'concerns about increased traffic and parking congestion', 'impact on property value', 'reliance on cars for mobility', 'preservation of neighbourhood character']"
Pamela,47,Bondi Junction,Nurse,Centre,5,0,4,5,"Increased demand for public transport, potential for overcrowding on buses, need for improved pedestrian infrastructure","Enhance public transport services and frequency, invest in bike lanes and pedestrian pathways, implement car share schemes, ensure developments include amenities that reduce the need for personal vehicles",0.17679063360881545,"['sustainable urban development', 'housing affordability', 'public transport reliance', 'community and public space prioritization', 'vehicle ownership reduction']"
Kelly,20,Waverley,Public servant,Liberal,1,0,1,1,"Increased parking scarcity, potential property devaluation, insufficient public transport enhancements, increased congestion and noise","Mandate a minimum number of parking spaces relative to apartment size, invest in and expand public transportation and alternative transport methods, implement strict noise control regulations",0.1293831168831169,"['Parking scarcity concerns', 'potential property devaluation', 'lack of improved public transportation', 'increased congestion and noise', 'opposition to urban density policies']"
Carolyn,84,Queens Park,Designer,Teal Independent,5,0,4,5,"Housing affordability, environmental sustainability, community cohesion","Increase investment in bike lanes and public transport, implement car share schemes, provide incentives for developments with green spaces and communal areas",0.23677156177156175,"['affordable housing', 'sustainable urban environment', 'non-vehicular transport', 'housing affordability', 'active lifestyle']"
Jennifer,46,Dover Heights,Student,Liberal,5,0,4,4,"Increased traffic congestion, insufficient public transport upgrades, potential displacement of current residents, lack of infrastructure for cyclists and pedestrians","Enhance public transport services and frequency, invest in cycling and pedestrian infrastructure, implement car share schemes, ensure a portion of new housing is allocated to affordable units, monitor and manage the impact on local traffic and parking with dynamic regulations and community input",0.13744588744588743,"['housing affordability', 'urban density', 'sustainable urban development', 'alternative modes of transport', 'benefits for renters']"
Amber,47,Bronte,Delivery driver,Socialist Alliance,1,0,1,1,"Reduced parking availability, increased street parking competition, impact on daily routines of car-dependent residents, potential decrease in property values due to perceived inconvenience","Implement a hybrid model with reduced but not eliminated parking requirements, increase investment in public transport and cycling infrastructure, introduce parking permits for local residents",0.0893939393939394,"['Impact on residents who rely on vehicles', 'Increased competition for street parking', 'Community accessibility and convenience', 'Concerns about new apartment development policies']"
Paul,54,Tamarama,Hospitality worker,Liberal,4,0,3,2,"Increased demand on public transport, parking scarcity, rent pressures, community livability","Enhance public transport services and infrastructure, introduce resident parking permits, mandate a minimum percentage of affordable housing units in new developments, invest in community facilities to offset increased density",0.09663299663299665,"['affordable housing', 'public transport strain', 'parking space competition', 'construction cost reduction', 'community livability']"
Michael,70,Dover Heights,Tradie,Teal Independent,1,0,1,1,"Increased traffic congestion, Parking scarcity, Property devaluation, Reduced accessibility","Implement a resident parking permit system, Increase public transport options, Mandate a minimum number of car spaces for new developments based on size, Encourage car sharing schemes",0.09567099567099567,"['Increased traffic and parking pressures', 'Reliance on car for mobility', 'Potential property devaluation', 'Congestion and attractiveness to buyers', 'Removal of minimum parking requirements']"
Roger,71,Bondi Beach,Software developer,Socialist Alliance,5,0,5,4,"Developer accountability, public transport improvements, cycling infrastructure","Invest in enhancing public transport and cycleways, enforce developer contributions to sustainability initiatives, establish car share schemes",0.2427239427239427,"['climate resilience and sustainable living', 'reducing car reliance', 'affordable housing', 'public transport and cycling encouragement', 'community benefits and development policies']"
Laurie,78,Dover Heights,Public servant,Liberal,2,0,2,2,"Increased traffic congestion, Reduced parking availability, Potential decline in public safety, Impact on elderly and less mobile residents","Implement a hybrid parking policy that reduces, but does not eliminate, parking requirements; Increase investment in public transport and infrastructure to support a potential rise in usage; Introduce community consultation processes to involve local residents in development decisions; Establish clear guidelines for developers on incorporating green spaces and community facilities.",0.033838383838383834,"['housing affordability', 'environmental benefits', 'traffic congestion', 'parking availability', 'community needs']"
Tony,72,North Bondi,Student,Teal Independent,5,0,4,4,"overflow parking in residential areas, adequate investment in public transportation and cycling infrastructure","enforce residential parking zones, increase public transport options and frequency, provide more bicycle lanes and scooter parking areas",0.19805194805194803,"['sustainable living', 'affordable housing', 'reduction of parking space mandates', 'environmental concern', 'impact on current residents']"
Angela,49,Tamarama,Student,Labor,1,0,1,1,"Increased congestion, Parking availability, Impact on property values, Reduction in quality of life","Implement strict parking provisions for new developments, Enhance public transport options, Increase investment in cycleways, Ensure new developments include sufficient resident amenities",0.007326839826839832,"['community opposition to policy changes', 'parking and congestion concerns', 'impact on property values', 'housing affordability and quality of life', 'cycleways and noise control issues']"
Christopher,35,Dover Heights,Retail assistant,Labor,1,0,1,1,"Increased traffic congestion, Reduced street safety, Parking scarcity, Potential property devaluation","Implement a tiered parking requirement based on the development size and location, Increase investment in public transportation to reduce the reliance on personal vehicles, Introduce incentives for developers to include green spaces or community facilities compensating for the reduced parking spaces",0.07024793388429752,"['opposition to parking requirement removal', 'impact on daily commute', 'street safety and traffic congestion', 'property devaluation concerns', 'local community involvement']"
Maria,59,Dover Heights,Engineer,Liberal,1,0,1,1,"Increased parking pressure on surrounding suburbs, decreased street safety, potential decline in property values, overlooked need for comprehensive traffic management solutions","Implement a graduated parking requirement based on apartment size and location, invest in improving public transport accessibility, introduce developer incentives for including green spaces or community facilities instead of reducing parking spaces",0.16161616161616163,"['opposition to removal of parking requirements', 'impact on traffic and parking', 'community livability', 'safety and accessibility concerns', 'balance between development and community needs']"
Adrienne,47,Bondi Junction,Artist,Teal Independent,1,0,2,1,"Increased street parking competition, impact on local heritage and character, potential rise in noise pollution, overcrowded public transport","Implement a resident parking permit system, mandate green space or community art space in lieu of parking spaces, increase investment in public transport infrastructure, enforce strict noise control measures",0.07904040404040405,"['impact of urban development policies on local communities', 'balance between accessibility and community character', 'concerns over parking and transportation', 'preservation of neighborhood identity', 'sustainable urban development vs. practical needs of residents']"
Dylan,85,Tamarama,Designer,Teal Independent,1,0,1,1,"Reduced parking availability, Increased congestion, Negative impact on property values, Reduced accessibility for elderly and mobility-impaired residents","Implement a hybrid model that maintains some parking requirements while encouraging public transport use, Increase investment in public transport infrastructure to reduce car dependency, Introduce community consultation processes to gauge resident needs and concerns, Ensure new developments include provisions for car share schemes or dedicated visitor parking to alleviate potential parking shortages.",0.06946386946386947,"['parking situation concerns', 'community cohesion', 'local area accessibility', 'property devaluation', 'reliance on transportation']"
Oscar,74,North Bondi,HR manager,Liberal,1,0,1,1,"Increased parking pressure, Reduced property values, Overburdened public transport, Community dissatisfaction","Implement a hybrid approach that maintains some parking requirements, Increase investment in public transport infrastructure, Introduce incentives for developers to include green spaces and community amenities",0.06727272727272728,"['parking concerns in Bondi', 'housing affordability and density', 'community quality of life', 'property values', 'balanced development']"
Madeline,30,North Bondi,Engineer,Labor,5,0,4,4,"potential for overdevelopment, risk of reduced community spaces, increased pressure on public transport infrastructure","mandatory inclusion of green spaces or communal areas in new developments, investment in public transport and infrastructure to support increased usage, enforceable guidelines to ensure developments are aligned with community needs and sustainability goals",0.12777777777777774,"['housing affordability', 'impact of climate change', 'sustainable living', 'community benefits', 'public transport encouragement']"
Lisa,76,Dover Heights,Retail assistant,Liberal,1,0,1,1,"Increased traffic congestion, reduced on-street parking availability, potential property devaluation, impact on local community's quality of life","Implement a mandatory minimum parking requirement proportional to the number of units, increase investment in public transport and infrastructure, enforce stricter noise control measures",0.1733100233100233,"['community character preservation', 'opposition to reduced parking requirements', 'traffic congestion concerns', 'impact on quality of life', 'potential property devaluation']"
Danielle,36,Randwick,Engineer,Teal Independent,5,0,4,4,"Potential increase in street parking pressure, Overcrowding of public transport, Need for improved public transport infrastructure","Enhanced public transport services and infrastructure, Implementation of resident parking schemes, Increased investment in cycling and walking infrastructure",0.11691919191919192,"['sustainable urban development', 'reducing carbon footprint', 'public transport use', 'housing affordability', 'managing public and street parking pressures']"
Amanda,59,Dover Heights,Accountant,Liberal,1,0,1,1,"Increased congestion, parking availability, property devaluation, community appeal","Implement a hybrid approach that requires a minimum number of parking spaces based on the size of the development, enhance public transport options to reduce car dependency, enforce strict parking regulations to prevent overflow into residential areas",0.10021645021645022,"['parking challenges in Dover Heights', 'impact on property values', 'balance between housing development and quality of life']"
